id;name;handle;description
1;though surface;futon taxicab;../fake-data/blob/hipster.txt
2;coolly;mysteriously;../fake-data/blob/hipster.txt
3;devastation;pension;../fake-data/blob/hipster.txt
4;yet messy yowza;that concerning convection;../fake-data/blob/hipster.txt
5;modulo agile popularize;while ugh awkwardly;../fake-data/blob/hipster.txt
6;braid switch an;happily potable pack;../fake-data/blob/hipster.txt
7;nor;nutritious;../fake-data/blob/hipster.txt
8;uncommon gah exploration;hovercraft;../fake-data/blob/hipster.txt
9;treasure happily;jagged equatorial per;../fake-data/blob/hipster.txt
10;coast;unabashedly rationale testing;../fake-data/blob/hipster.txt
